-,-,-
--start---
23, -35, 999
20, -31, 999
20, -30, 1003
20, -29, 1002
20, -30, 1000
20, -30, 1000
22, -24, 1007
21, -26, 1006
20, -27, 1004
20, -28, 1003
21, -28, 1000
21, -28, 1000
21, -28, 1000
21, -28, 1001
27, -35, 1001
15, -16, 1005
19, -24, 1005
18, -26, 1004
18, -26, 1004
20, -27, 1003
14, -19, 1006
-75, -20, 988
-86, 6, 1014
-9, -24, 998
-9, -24, 998
-34, -17, 1009
-57, -18, 1000
-73, -38, 995
-1, -12, 1024
-12, -42, 1003
-12, -42, 1003
-59, -21, 998
-38, 25, 1007
-112, 45, 1007
-94, 11, 1000
-98, 14, 999
-104, 36, 1009
-104, 36, 1009
-43, 20, 991
-37, -3, 1002
-45, 38, 1007
25, 7, 1015
41, -23, 986
41, -23, 986
39, -1, 1016
40, 7, 993
101, -3, 997
101, -3, 997
98, -75, 994
147, -88, 1028
126, -95, 1006
152, -74, 990
101, -54, 996
101, -54, 996
156, -79, 1011
107, -67, 996
151, -83, 1010
152, -99, 992
169, -87, 1006
99, -47, 998
99, -47, 998
34, -37, 994
261, -104, 1017
246, -84, 1004
238, -62, 992
236, -56, 995
226, -65, 1026
226, -65, 1026
219, -69, 965
255, -97, 1016
211, -73, 1013
199, -48, 975
103, -26, 982
45, -30, 1009
45, -30, 1009
8, -37, 1001
-7, -24, 961
-87, -4, 958
-135, 30, 1002
-166, 24, 1014
-166, 24, 1014
-177, -22, 1014
-227, -8, 982
-211, -1, 1031
-187, -11, 985
-185, 12, 1008
-185, 45, 1007
-147, 50, 1001
-23, -11, 1004
9, -27, 1011
9, -27, 1011
-95, -6, 992
6, -15, 1006
-1, -25, 999
-1, -25, 999
-15, -26, 997
62, -34, 1000
35, -22, 1015
-21, -27, 988
-,-,-
40, -21, 1001
40, -8, 999
25, -25, 1003
19, -34, 1002
15, -36, 999
15, -36, 999
-26, -75, 1005
49, -2, 999
8, -29, 1006
8, -29, 1006
-9, -44, 1002
9, -34, 1005
28, -24, 1003
21, -37, 1006
51, -6, 999
51, -6, 999
23, -23, 1002
6, -21, 1001
-42, 0, 1005
-42, 0, 1005
-27, 20, 999
-50, 72, 1002
-51, 66, 1015
-35, 130, 1008
-105, 238, 1008
-75, 243, 1012
-75, 243, 1012
-114, 380, 994
-6, 215, 1021
56, 244, 972
37, 162, 1022
37, 183, 1003
68, 54, 1006
68, 54, 1006
81, -69, 983
78, -49, 1015
75, -52, 987
102, -155, 1013
102, -155, 1013
117, -209, 997
118, -254, 1014
99, -288, 989
105, -292, 998
72, -234, 1006
65, -191, 1008
65, -146, 989
81, -155, 1006
54, -149, 1011
54, -149, 1011
73, -131, 1010
72, -151, 995
47, -108, 1003
58, -82, 993
35, -58, 1000
18, -28, 1000
18, -28, 1000
-,-,-
19, -32, 998
19, -32, 998
20, -34, 993
14, -31, 1002
21, -21, 1010
21, -15, 1005
-17, 229, 999
-17, 229, 999
-110, 342, 989
-56, 340, 1026
-28, 289, 1003
2, 294, 1009
62, 265, 996
62, 265, 996
50, 278, 1004
48, 219, 1021
84, -31, 996
45, -55, 988
54, -174, 1000
54, -174, 1000
23, -118, 1003
50, -194, 1016
80, -293, 1013
35, -246, 989
42, -165, 988
25, -150, 999
43, -154, 1002
43, -154, 1002
48, -174, 1002
81, -229, 1007
90, -190, 1001
62, -189, 992
73, -176, 1014
97, -193, 995
54, -121, 997
54, -121, 997
39, -57, 1002
23, -31, 1003
21, -26, 1004
20, -28, 1001
20, -29, 999
20, -29, 999
23, -39, 996
-,-,-
21, -30, 994
21, -30, 994
17, -30, 1004
-40, 59, 1006
-24, 100, 1018
-40, 292, 985
-60, 352, 1000
-18, 298, 1008
-18, 298, 1008
-13, 161, 1007
-34, 41, 1018
-33, 0, 984
27, 118, 1005
0, 279, 1000
0, 279, 1000
30, 240, 1015
52, 192, 1004
80, 12, 977
61, -77, 961
61, -77, 961
86, -73, 1039
69, -128, 996
127, -256, 985
121, -250, 985
72, -283, 997
64, -257, 1000
64, -257, 1000
57, -198, 996
58, -171, 998
73, -214, 993
88, -278, 1005
88, -193, 1006
68, -178, 985
68, -178, 985
62, -171, 1011
58, -135, 996
35, -89, 1002
27, -36, 998
27, -31, 999
27, -31, 999
-,-,-
23, 21, 1088
23, 21, 1088
-7, 80, 798
-26, 20, 979
1, 101, 1047
-31, 143, 1106
-31, 143, 1106
-50, 364, 904
-32, 257, 988
-7, 294, 1009
14, 165, 1000
-18, 150, 1008
-42, 121, 992
-42, 121, 992
36, 43, 1013
22, 98, 1010
54, 133, 992
38, 144, 1002
38, 144, 1002
47, -19, 997
86, -37, 1000
104, -125, 981
73, -181, 1009
114, -265, 987
102, -290, 999
104, -310, 1011
104, -310, 1011
78, -262, 989
51, -199, 998
66, -161, 1014
84, -139, 983
29, -138, 1024
